person1_word_idx,person2_word_idx,sentence,person1_right_tokens,person2_right_tokens,text_between,person1_left_tokens,person2_left_tokens,person1_right_first_tokens,person2_right_first_tokens,person1_right_second_tokens,person2_right_second_tokens,person1_right_third_tokens,person2_right_third_tokens,person1_left_first_tokens,person2_left_first_tokens,person1_left_second_tokens,person2_left_second_tokens,person1_left_third_tokens,person2_left_third_tokens,tokens
"(2, 2)","(30, 30)","The designed alloys show the low mass densities ( 8.67~8.86g/cm3 ) that are considerably lower than that of Co-9Al-9.8 W ( 9.82g/cm3 ) , high γʹ solvus temperature ( up to 1044°C ) that is higher than that of Co-9Al-9.8 W ( 990°C ) , and high strength that is more intriguing compared with that of Co-base superalloys including traditional Co-base superalloys and novel γʹ-reinforced Co-base superalloys . ","['show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are']","['show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are']","['show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to']",['The'],"['W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up']",['show'],[')'],['the'],['that'],['low'],['is'],['designed'],['to'],['The'],['up'],[],['('],"['The', 'designed', 'alloys', 'show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing', 'compared', 'with', 'that', 'of', 'Co-base', 'superalloys', 'including', 'traditional', 'Co-base', 'superalloys', 'and', 'novel', 'γʹ-reinforced', 'Co-base', 'superalloys', '.']"
"(2, 2)","(41, 41)","The designed alloys show the low mass densities ( 8.67~8.86g/cm3 ) that are considerably lower than that of Co-9Al-9.8 W ( 9.82g/cm3 ) , high γʹ solvus temperature ( up to 1044°C ) that is higher than that of Co-9Al-9.8 W ( 990°C ) , and high strength that is more intriguing compared with that of Co-base superalloys including traditional Co-base superalloys and novel γʹ-reinforced Co-base superalloys . ","['show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are']","['show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are']","['show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(']",['The'],"['1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W']",['show'],[')'],['the'],['and'],['low'],['high'],['designed'],['('],['The'],['W'],[],['Co-9Al-9.8'],"['The', 'designed', 'alloys', 'show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing', 'compared', 'with', 'that', 'of', 'Co-base', 'superalloys', 'including', 'traditional', 'Co-base', 'superalloys', 'and', 'novel', 'γʹ-reinforced', 'Co-base', 'superalloys', '.']"
"(18, 19)","(30, 30)","The designed alloys show the low mass densities ( 8.67~8.86g/cm3 ) that are considerably lower than that of Co-9Al-9.8 W ( 9.82g/cm3 ) , high γʹ solvus temperature ( up to 1044°C ) that is higher than that of Co-9Al-9.8 W ( 990°C ) , and high strength that is more intriguing compared with that of Co-base superalloys including traditional Co-base superalloys and novel γʹ-reinforced Co-base superalloys . ","['(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to']","['(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to']","['(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to']","['densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that']","['W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up']",['('],[')'],['9.82g/cm3'],['that'],[')'],['is'],['of'],['to'],['that'],['up'],['that'],['('],"['The', 'designed', 'alloys', 'show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing', 'compared', 'with', 'that', 'of', 'Co-base', 'superalloys', 'including', 'traditional', 'Co-base', 'superalloys', 'and', 'novel', 'γʹ-reinforced', 'Co-base', 'superalloys', '.']"
"(18, 19)","(41, 41)","The designed alloys show the low mass densities ( 8.67~8.86g/cm3 ) that are considerably lower than that of Co-9Al-9.8 W ( 9.82g/cm3 ) , high γʹ solvus temperature ( up to 1044°C ) that is higher than that of Co-9Al-9.8 W ( 990°C ) , and high strength that is more intriguing compared with that of Co-base superalloys including traditional Co-base superalloys and novel γʹ-reinforced Co-base superalloys . ","['(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to']","['(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to']","['(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(']","['densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that']","['1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W']",['('],[')'],['9.82g/cm3'],['and'],[')'],['high'],['of'],['('],['that'],['W'],['that'],['Co-9Al-9.8'],"['The', 'designed', 'alloys', 'show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing', 'compared', 'with', 'that', 'of', 'Co-base', 'superalloys', 'including', 'traditional', 'Co-base', 'superalloys', 'and', 'novel', 'γʹ-reinforced', 'Co-base', 'superalloys', '.']"
"(38, 39)","(30, 30)","The designed alloys show the low mass densities ( 8.67~8.86g/cm3 ) that are considerably lower than that of Co-9Al-9.8 W ( 9.82g/cm3 ) , high γʹ solvus temperature ( up to 1044°C ) that is higher than that of Co-9Al-9.8 W ( 990°C ) , and high strength that is more intriguing compared with that of Co-base superalloys including traditional Co-base superalloys and novel γʹ-reinforced Co-base superalloys . ","['(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing']","['(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing']","[')', 'that', 'is', 'higher', 'than', 'that', 'of']","['(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that']","['W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up']",['('],[')'],['990°C'],['that'],[')'],['is'],['of'],['to'],['that'],['up'],['that'],['('],"['The', 'designed', 'alloys', 'show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing', 'compared', 'with', 'that', 'of', 'Co-base', 'superalloys', 'including', 'traditional', 'Co-base', 'superalloys', 'and', 'novel', 'γʹ-reinforced', 'Co-base', 'superalloys', '.']"
"(38, 39)","(41, 41)","The designed alloys show the low mass densities ( 8.67~8.86g/cm3 ) that are considerably lower than that of Co-9Al-9.8 W ( 9.82g/cm3 ) , high γʹ solvus temperature ( up to 1044°C ) that is higher than that of Co-9Al-9.8 W ( 990°C ) , and high strength that is more intriguing compared with that of Co-base superalloys including traditional Co-base superalloys and novel γʹ-reinforced Co-base superalloys . ","['(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing']","['(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing']",['('],"['(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that']","['1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W']",['('],[')'],['990°C'],['and'],[')'],['high'],['of'],['('],['that'],['W'],['that'],['Co-9Al-9.8'],"['The', 'designed', 'alloys', 'show', 'the', 'low', 'mass', 'densities', '(', '8.67~8.86g/cm3', ')', 'that', 'are', 'considerably', 'lower', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '9.82g/cm3', ')', 'high', 'γʹ', 'solvus', 'temperature', '(', 'up', 'to', '1044°C', ')', 'that', 'is', 'higher', 'than', 'that', 'of', 'Co-9Al-9.8', 'W', '(', '990°C', ')', 'and', 'high', 'strength', 'that', 'is', 'more', 'intriguing', 'compared', 'with', 'that', 'of', 'Co-base', 'superalloys', 'including', 'traditional', 'Co-base', 'superalloys', 'and', 'novel', 'γʹ-reinforced', 'Co-base', 'superalloys', '.']"
"(7, 7)","(17, 17)","[ 14 ] on the Ni-Fe-base superalloy GH2984 revealed that as the temperature increases from 20 to 750°C which is close to the theoretical γ′ solvus temperature of the alloy , the γ′ precipitate size decreases with temperature , resulting in a change in the prevailing tensile deformation mechanism from Orowan looping to precipitate shearing . ","['as', 'the', 'temperature', 'increases', 'from', '20', 'to', '750°C', 'which', 'is']","['as', 'the', 'temperature', 'increases', 'from', '20', 'to', '750°C', 'which', 'is']","['as', 'the', 'temperature', 'increases', 'from', '20', 'to', '750°C', 'which']","['14', 'on', 'the', 'Ni-Fe-base', 'superalloy', 'GH2984']","['revealed', 'that', 'as', 'the', 'temperature', 'increases', 'from', '20', 'to', '750°C']",['as'],['close'],['the'],['to'],['temperature'],['the'],['revealed'],['which'],['GH2984'],['750°C'],['superalloy'],['to'],"['14', 'on', 'the', 'Ni-Fe-base', 'superalloy', 'GH2984', 'revealed', 'that', 'as', 'the', 'temperature', 'increases', 'from', '20', 'to', '750°C', 'which', 'is', 'close', 'to', 'the', 'theoretical', 'γ′', 'solvus', 'temperature', 'of', 'the', 'alloy', 'the', 'γ′', 'precipitate', 'size', 'decreases', 'with', 'temperature', 'resulting', 'in', 'a', 'change', 'in', 'the', 'prevailing', 'tensile', 'deformation', 'mechanism', 'from', 'Orowan', 'looping', 'to', 'precipitate', 'shearing', '.']"
"(34, 34)","(32, 32)","In order to introduce γ′ phase and grain size differences , we intentionally set the HIP temperature at 1000°C and 1210°C , which are lower and higher , respectively , than the γ′ solvus temperature ( ~1150°C for IN738LC ) . ","[')', '.']","[')', '.']",['for'],"['and', 'higher', 'respectively', 'than', 'the', 'γ′', 'solvus', 'temperature', '(', '~1150°C']","['are', 'lower', 'and', 'higher', 'respectively', 'than', 'the', 'γ′', 'solvus', 'temperature']",[')'],['for'],['.'],['IN738LC'],['.'],[')'],['for'],['('],['~1150°C'],['temperature'],['('],['solvus'],"['In', 'order', 'to', 'introduce', 'γ′', 'phase', 'and', 'grain', 'size', 'differences', 'we', 'intentionally', 'set', 'the', 'HIP', 'temperature', 'at', '1000°C', 'and', '1210°C', 'which', 'are', 'lower', 'and', 'higher', 'respectively', 'than', 'the', 'γ′', 'solvus', 'temperature', '(', '~1150°C', 'for', 'IN738LC', ')', '.']"
"(9, 9)","(11, 11)","The highest solvus temperature of the new designed quaternary superalloy is 1135°C , while the highest solvus temperature of the reported Co Al W-X quaternary superalloy is 1120°C [ 34 ] . ","['is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported']","['is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported']",['is'],"['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed']","['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed', 'quaternary', 'superalloy']",['is'],['while'],['1135°C'],['the'],['while'],['highest'],['quaternary'],['is'],['designed'],['superalloy'],['new'],['quaternary'],"['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed', 'quaternary', 'superalloy', 'is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported', 'Co', 'Al', 'W-X', 'quaternary', 'superalloy', 'is', '1120°C', '34', '.']"
"(9, 9)","(26, 26)","The highest solvus temperature of the new designed quaternary superalloy is 1135°C , while the highest solvus temperature of the reported Co Al W-X quaternary superalloy is 1120°C [ 34 ] . ","['is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported']","['is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported']","['is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported', 'Co', 'Al', 'W-X', 'quaternary', 'superalloy', 'is']","['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed']","['solvus', 'temperature', 'of', 'the', 'reported', 'Co', 'Al', 'W-X', 'quaternary', 'superalloy']",['is'],['34'],['1135°C'],['.'],['while'],['.'],['quaternary'],['is'],['designed'],['superalloy'],['new'],['quaternary'],"['The', 'highest', 'solvus', 'temperature', 'of', 'the', 'new', 'designed', 'quaternary', 'superalloy', 'is', '1135°C', 'while', 'the', 'highest', 'solvus', 'temperature', 'of', 'the', 'reported', 'Co', 'Al', 'W-X', 'quaternary', 'superalloy', 'is', '1120°C', '34', '.']"
